name,description,설명,url,type,usage_count,sheet_name,search_query,relevance_score,usage_count_numeric,relevance_normalized,usage_normalized,composite_score
Pulse CN MCP Server,Access real-time trending content from the Chinese internet. Connect your AI models to the latest data from popular social media platforms and news sites. Stay updated with what's trending in China effortlessly.,중국 인터넷에서 실시간 트렌드 콘텐츠에 액세스하세요. AI 모델을 인기 있는 소셜 미디어 플랫폼과 뉴스 사이트의 최신 데이터에 연결하세요. 중국에서 트렌드가 무엇인지 손쉽게 최신 정보를 받아보세요.,https://smithery.ai/server/@wangtsiao/pulse-cn-mcp,Remote,,featured_category,,4,0.0,1.0,0.0,0.7
Instagram Engagement Analysis,"Analyze Instagram engagement metrics, extract demographic insights, and identify potential leads from posts and accounts. Gain actionable insights to enhance your social media strategy and marketing efforts.","Instagram 참여 지표를 분석하고, 인구 통계적 통찰력을 추출하고, 게시물과 계정에서 잠재적 리드를 파악합니다. 소셜 미디어 전략과 마케팅 노력을 강화하기 위한 실행 가능한 통찰력을 얻으세요.",https://smithery.ai/server/@Bob-lance/instagram-engagement-mcp,Remote,7.13k,featured_category,,3,7130.0,0.5,0.9740437158469946,0.6422131147540984
Mavae Image Toolbox,MAVAE IMAGE TOOLBOX is a Model Context Protocol (MCP) server for interacting with image media tools. 🚀 Image Generation | 🚀 Image Editing | 🚀 Collection Management | 🚀 Model & Lora Management,MAVAE IMAGE TOOLBOX는 이미지 미디어 도구와 상호 작용하기 위한 Model Context Protocol(MCP) 서버입니다. 🚀 이미지 생성 | 🚀 이미지 편집 | 🚀 컬렉션 관리 | 🚀 모델 및 Lora 관리,https://smithery.ai/server/@xenoailimited/mavae-image-toolbox,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,dynamic_web_development,Tools and frameworks for building dynamic web applications and integrating real-time data,3,0.0,0.5,0.0,0.35
SEO Automation and Optimization,Automate your SEO tasks and optimize your content with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your online presence with tailored SEO recommendations and SERP analysis.,AI 기반 인사이트로 SEO 작업을 자동화하고 콘텐츠를 최적화하세요. 효과적인 키워드 조사 및 경쟁자 분석을 위해 Google Ads 키워드 플래너를 활용하세요. 맞춤형 SEO 권장 사항 및 SERP 분석으로 온라인 존재감을 강화하세요.,https://smithery.ai/server/@ccnn2509/app-seo-ai,Remote,,browser_automation,advanced web browsing automation,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",3,0.0,0.5,0.0,0.35
Dappier MCP Server,"Connect your AI to real-time, rights-cleared data from trusted sources. Access specialized models for web search, news, sports, and financial data to enhance your AI's expertise. Leverage AI-powered recommendations for personalized content discovery across various domains.","신뢰할 수 있는 출처의 실시간 권리 처리된 데이터에 AI를 연결합니다. 웹 검색, 뉴스, 스포츠 및 재무 데이터에 대한 전문 모델에 액세스하여 AI의 전문성을 향상합니다. 다양한 도메인에서 개인화된 콘텐츠 검색을 위한 AI 기반 권장 사항을 활용합니다.",https://smithery.ai/server/@DappierAI/dappier-mcp,Local,,web_search,web search,3,0.0,0.5,0.0,0.35
SEO Automation and Optimization,Automate your SEO tasks and optimize your content with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your online presence with tailored SEO recommendations and SERP analysis.,AI 기반 인사이트로 SEO 작업을 자동화하고 콘텐츠를 최적화하세요. 효과적인 키워드 조사 및 경쟁자 분석을 위해 Google Ads 키워드 플래너를 활용하세요. 맞춤형 SEO 권장 사항 및 SERP 분석으로 온라인 존재감을 강화하세요.,https://smithery.ai/server/@ccnn2509/app-seo-ai,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Tavily MCP Server with Proxy Support,Enable AI-powered web searches through proxy servers. Get direct answers to your questions and access recent news articles with AI-extracted relevant content. Enhance your LLM's capabilities with sophisticated search functionalities.,프록시 서버를 통해 AI 기반 웹 검색을 활성화합니다. 질문에 대한 직접적인 답변을 얻고 AI에서 추출한 관련 콘텐츠로 최근 뉴스 기사에 액세스합니다. 정교한 검색 기능으로 LLM의 역량을 강화합니다.,https://smithery.ai/server/@tulong66/mcp-tavily-proxy,Local,,web_search,web search,3,0.0,0.5,0.0,0.35
JigsawStack Translation,"With our real time AI Translation, you can translate any text, conversation, or document to any language while maintaining the context, tone, and meaning with AI enabling high accuracy and reliability.
 

 We support 180+ language pairs! Check out the list of languages we support here: https://jigsawstack.com/docs/additional-resources/languages
 

 You can get your jigsawstack key here: https://jigsawstack.com/dashboard/","실시간 AI 번역을 사용하면 모든 텍스트, 대화 또는 문서를 모든 언어로 번역할 수 있으며, AI를 통해 높은 정확도와 신뢰성을 제공하는 맥락, 톤 및 의미를 유지할 수 있습니다.

180개 이상의 언어 쌍을 지원합니다! 여기에서 지원하는 언어 목록을 확인하세요: https://jigsawstack.com/docs/additional-resources/languages

여기에서 jigsawstack 키를 받을 수 있습니다: https://jigsawstack.com/dashboard/",https://smithery.ai/server/@JigsawStack/translation,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,browser_automation,advanced web browsing automation,3,0.0,0.5,0.0,0.35
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,Cloudflare Browser Rendering을 사용하여 LLM 컨텍스트에 대한 웹 콘텐츠를 원활하게 페치하고 처리합니다. 실시간 웹 데이터 추출 및 구조화된 콘텐츠 요약으로 애플리케이션을 강화합니다. 강력한 도구를 활용하여 관련 웹 정보로 LLM 상호 작용을 풍부하게 합니다.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,,featured_category,,3,0.0,0.5,0.0,0.35
Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools.","스크래핑, 구조화된 데이터 추출, 웹페이지 크롤링을 손쉽게 수행하세요. 강력한 웹 스크래핑 기능과 구조화된 데이터 추출 도구로 애플리케이션을 강화하세요.",https://smithery.ai/server/@hyperbrowserai/mcp,Remote,7.32k,browser_automation,advanced web browsing automation,2,7320.0,0.0,1.0,0.3
HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k,dynamic_web_development,Tools and frameworks for building dynamic web applications and integrating real-time data,2,3620.0,0.0,0.49453551912568305,0.1483606557377049
Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.","실시간 정보를 대화에 가져오고 모든 주제를 쉽게 조사하세요. Google 검색 통합, 웹페이지 콘텐츠 추출 및 세션 추적을 활용하여 조사 역량을 강화하세요. 스크린샷을 캡처하고 조사 세션에 대한 포괄적인 기록을 유지하여 더 나은 통찰력을 얻으세요.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.48k,browser_automation,advanced web browsing automation,2,2480.0,0.0,0.33879781420765026,0.10163934426229508
Contentful Management Server,"MCP server for Contentful Content Management API integration, providing full CRUD operations, space, and content-type management, do bulk operations, invoke AI-actions and authenticate using App Identities.
 This MCP Server will enable you to implement a powerful agentic workflow that can do content operations on the Contentful platform","Contentful Content Management API 통합을 위한 MCP 서버로, 전체 CRUD 작업, 공간 및 콘텐츠 유형 관리를 제공하고, 대량 작업을 수행하고, AI 작업을 호출하고, 앱 ID를 사용하여 인증합니다.
이 MCP 서버를 사용하면 Contentful 플랫폼에서 콘텐츠 작업을 수행할 수 있는 강력한 에이전트 워크플로를 구현할 수 있습니다.",https://smithery.ai/server/@ivotoby/contentful-management-mcp-server,Remote,1.70k,featured_category,,2,1700.0,0.0,0.23224043715846995,0.06967213114754098
Smart-Thinking,"Enhance your AI assistants with advanced multi-dimensional reasoning capabilities. Analyze thoughts, verify information, and visualize reasoning processes for better decision-making. Collaborate seamlessly with others to tackle complex problems effectively.","고급 다차원 추론 기능으로 AI 어시스턴트를 강화하세요. 더 나은 의사 결정을 위해 사고를 분석하고, 정보를 검증하고, 추론 과정을 시각화하세요. 다른 사람들과 원활하게 협업하여 복잡한 문제를 효과적으로 해결하세요.",https://smithery.ai/server/@Leghis/smart-thinking,Remote,1.60k,featured_category,,2,1600.0,0.0,0.2185792349726776,0.06557377049180327
Unity MCP Integration,"Enable AI assistants to interact with your Unity projects in real-time. Access scene information, execute C# code, and monitor logs directly within the Unity Editor. Enhance your development workflow with seamless AI integration.
 Also Added File Access to Give more functionality to LLM","AI 어시스턴트가 Unity 프로젝트와 실시간으로 상호 작용할 수 있도록 합니다. Unity Editor에서 직접 장면 정보에 액세스하고, C# 코드를 실행하고, 로그를 모니터링합니다. 원활한 AI 통합으로 개발 워크플로를 강화합니다.
또한 LLM에 더 많은 기능을 제공하기 위해 파일 액세스 추가",https://smithery.ai/server/@quazaai/unitymcpintegration,Remote,1.22k,featured_category,,2,1220.0,0.0,0.16666666666666666,0.049999999999999996
WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to enhance your content analysis and retrieval tasks.,자연어 프롬프트를 사용하여 지능형 웹 검색을 수행하고 웹 페이지에서 특정 정보를 추출합니다. 고급 웹 스크래핑 및 크롤링 기능을 활용하여 콘텐츠 분석 및 검색 작업을 향상시킵니다.,https://smithery.ai/server/@josemartinrodriguezmortaloni/webSearch-Tools,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
Bing Search,"Enable your AI assistants to perform comprehensive web, news, and image searches using the Microsoft Bing Search API. Access timely information and visual content effortlessly, enhancing the capabilities of your applications. Integrate seamlessly with MCP-compatible clients for a powerful search experience.","Microsoft Bing Search API를 사용하여 AI 어시스턴트가 포괄적인 웹, 뉴스 및 이미지 검색을 수행하도록 하세요. 적시에 정보와 시각적 콘텐츠에 손쉽게 액세스하여 애플리케이션의 기능을 향상하세요. 강력한 검색 환경을 위해 MCP 호환 클라이언트와 원활하게 통합하세요.",https://smithery.ai/server/@leehanchung/bing-search-mcp,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Bing Search,"Enable your AI assistants to perform comprehensive web, news, and image searches using the Microsoft Bing Search API. Access timely information and visual content effortlessly, enhancing the capabilities of your applications. Integrate seamlessly with MCP-compatible clients for a powerful search experience.","Microsoft Bing Search API를 사용하여 AI 어시스턴트가 포괄적인 웹, 뉴스 및 이미지 검색을 수행하도록 하세요. 적시에 정보와 시각적 콘텐츠에 손쉽게 액세스하여 애플리케이션의 기능을 향상하세요. 강력한 검색 환경을 위해 MCP 호환 클라이언트와 원활하게 통합하세요.",https://smithery.ai/server/@leehanchung/bing-search-mcp,Remote,,web_search,web search,2,0.0,0.0,0.0,0.0
Stability AI,"Image generation, editing, and upscaling using Stability AI's API.","Stability AI의 API를 사용하여 이미지 생성, 편집 및 업스케일링.",https://smithery.ai/server/mcp-server-stability-ai,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,2,0.0,0.0,0.0,0.0
Email Verification,Validate email addresses in real-time to ensure they are correctly formatted and deliverable. Integrate this capability seamlessly into your AI applications for enhanced user interaction and data accuracy.,이메일 주소를 실시간으로 검증하여 올바르게 포맷되고 전달 가능한지 확인합니다. 이 기능을 AI 애플리케이션에 원활하게 통합하여 향상된 사용자 상호 작용과 데이터 정확성을 제공합니다.,https://smithery.ai/server/@Abhi5h3k/mcp-email-verify,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
SearXNG MCP Server,"Integrate web search capabilities into your applications. Execute general queries, news, and articles with pagination support for tailored results. Enhance your projects with powerful search functionalities effortlessly.","웹 검색 기능을 애플리케이션에 통합합니다. 페이지네이션 지원으로 일반 쿼리, 뉴스 및 기사를 실행하여 맞춤형 결과를 얻습니다. 강력한 검색 기능으로 프로젝트를 손쉽게 강화합니다.",https://smithery.ai/server/@deepkl/mcp-searxng,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
OpenAI WebSearch Server,"Enable your AI assistants to access real-time web search capabilities during conversations. This server enhances the assistant's knowledge with up-to-date information, ensuring users receive accurate and relevant responses. Easily install and configure it for use with popular applications like Claude.app or Zed editor.",대화 중에 AI 어시스턴트가 실시간 웹 검색 기능에 액세스할 수 있도록 합니다. 이 서버는 최신 정보로 어시스턴트의 지식을 강화하여 사용자가 정확하고 관련성 있는 응답을 받을 수 있도록 합니다. Claude.app 또는 Zed editor와 같은 인기 있는 애플리케이션과 함께 사용하도록 쉽게 설치하고 구성합니다.,https://smithery.ai/server/@ConechoAI/openai-websearch-mcp,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
Twikit Twitter Search,Interact with Twitter to analyze sentiments and retrieve tweets from your timeline. Gain insights into public opinions and trends on various topics effortlessly.,Twitter와 상호 작용하여 감정을 분석하고 타임라인에서 트윗을 검색합니다. 다양한 주제에 대한 여론과 트렌드에 대한 통찰력을 손쉽게 얻으세요.,https://smithery.ai/server/@metrosir/mcp-twikit,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
SEO Automation and Optimization,Automate your SEO tasks and optimize your strategies with AI-powered insights. Leverage Google Ads Keyword Planner for effective keyword research and competitor analysis. Enhance your digital marketing efforts with integrated tools for SERP analysis and SEO recommendations.,AI 기반 인사이트로 SEO 작업을 자동화하고 전략을 최적화하세요. 효과적인 키워드 조사 및 경쟁사 분석을 위해 Google Ads 키워드 플래너를 활용하세요. SERP 분석 및 SEO 권장 사항을 위한 통합 도구로 디지털 마케팅 노력을 강화하세요.,https://smithery.ai/server/@ayushsinghvi92/app-seo-ai,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Desktop Commander,Execute terminal commands and manage processes seamlessly on your computer. Enhance your coding workflow with advanced file editing capabilities and real-time output streaming. Simplify your development tasks with powerful command execution and file manipulation tools.,컴퓨터에서 터미널 명령을 실행하고 프로세스를 원활하게 관리하세요. 고급 파일 편집 기능과 실시간 출력 스트리밍으로 코딩 워크플로를 강화하세요. 강력한 명령 실행 및 파일 조작 도구로 개발 작업을 간소화하세요.,https://smithery.ai/server/@zhanyiwp/desktopcommandermcp,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Cursor MCP,Enable AI-powered automation and multi-instance management for the Cursor editor.,커서 편집기에 AI 기반 자동화 및 다중 인스턴스 관리를 활성화합니다.,https://smithery.ai/server/@johnneerdael/multiplatform-cursor-mcp,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,2,0.0,0.0,0.0,0.0
Warpcast Integration Server,"Post, read, and interact with casts on your Warpcast account seamlessly. Engage with trending content and manage your channels effortlessly using Claude. Enhance your social experience by leveraging the power of Warpcast through this integration.","Warpcast 계정에서 캐스트를 매끄럽게 게시하고, 읽고, 상호 작용하세요. Claude를 사용하여 트렌드 콘텐츠에 참여하고 채널을 손쉽게 관리하세요. 이 통합을 통해 Warpcast의 힘을 활용하여 소셜 경험을 향상하세요.",https://smithery.ai/server/@zhangzhongnan928/mcp-warpcast-server,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",2,0.0,0.0,0.0,0.0
Document Operations Server,"Enable seamless document manipulation for Microsoft Word, Excel, and PDF files. Create, edit, and convert documents effortlessly, enhancing your productivity with Claude Desktop. Streamline your document workflows with powerful operations at your fingertips.","Microsoft Word, Excel 및 PDF 파일에 대한 원활한 문서 조작을 활성화합니다. Claude Desktop으로 문서를 손쉽게 만들고, 편집하고, 변환하여 생산성을 향상시킵니다. 손끝에서 강력한 작업을 통해 문서 워크플로를 간소화합니다.",https://smithery.ai/server/@alejandroBallesterosC/document-edit-mcp,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
YouTube MCP,"Extract transcripts, summarize content, and query videos effortlessly. Leverage Gemini AI to enhance your YouTube video analysis capabilities. Gain insights and streamline your video content interactions with powerful tools.","대본을 추출하고, 콘텐츠를 요약하고, 비디오를 손쉽게 쿼리하세요. Gemini AI를 활용하여 YouTube 비디오 분석 기능을 강화하세요. 강력한 도구로 통찰력을 얻고 비디오 콘텐츠 상호 작용을 간소화하세요.",https://smithery.ai/server/@Prajwal-ak-0/youtube-mcp,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to gather and analyze content seamlessly.,자연어 프롬프트를 사용하여 지능형 웹 검색을 수행하고 웹 페이지에서 특정 정보를 추출합니다. 고급 웹 스크래핑 및 크롤링 기능을 활용하여 콘텐츠를 원활하게 수집하고 분석합니다.,https://smithery.ai/server/@m4s1t4/webSearch-Tools,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
TypeScript Definition Finder,"Locate the original definitions of TypeScript symbols in your codebase effortlessly. Enhance your AI code editor's capabilities by integrating this tool to find definitions of imported symbols, classes, interfaces, or functions. Get precise location and code snippets to streamline your development process.
 

 This is a stdio server which can only run locally. Just do:
 `npx -y ts-def-mcp@latest`","코드베이스에서 TypeScript 심볼의 원래 정의를 손쉽게 찾으세요. 이 도구를 통합하여 가져온 심볼, 클래스, 인터페이스 또는 함수의 정의를 찾아 AI 코드 편집기의 기능을 향상하세요. 정확한 위치와 코드 조각을 얻어 개발 프로세스를 간소화하세요.

이것은 로컬에서만 실행할 수 있는 stdio 서버입니다. 다음을 실행하기만 하면 됩니다.
`npx -y ts-def-mcp@latest`",https://smithery.ai/server/@runninghare/typescript-definition-finder-mcp,Local,,featured_category,,2,0.0,0.0,0.0,0.0
Gemini API Server,"Leverage the power of Google's Gemini API for versatile AI capabilities. Generate text, create and edit images, analyze videos, and perform web searches seamlessly. Enhance your applications with advanced AI functionalities effortlessly.","다양한 AI 기능을 위해 Google의 Gemini API의 힘을 활용하세요. 텍스트를 생성하고, 이미지를 만들고 편집하고, 비디오를 분석하고, 웹 검색을 원활하게 수행하세요. 고급 AI 기능으로 애플리케이션을 손쉽게 강화하세요.",https://smithery.ai/server/@techkwon/mcp-gemini,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
FindMCP,Provide quick access to Smithery.ai URLs for seamless integration with the Cursor editor. Enhance your LLM capabilities by utilizing this simple and efficient MCP server to discover services effortlessly.,Cursor 편집기와 원활하게 통합하기 위해 Smithery.ai URL에 대한 빠른 액세스를 제공합니다. 이 간단하고 효율적인 MCP 서버를 활용하여 서비스를 손쉽게 발견하여 LLM 기능을 강화하세요.,https://smithery.ai/server/@Ceeon/findmcp2025,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Deep Web Research Server,Enhance web research capabilities with intelligent search and content extraction.,지능형 검색과 콘텐츠 추출로 웹 조사 역량을 강화하세요.,https://smithery.ai/server/@PedroDnT/mcp-deepwebresearch,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
DevHub CMS Integration,"Manage your content seamlessly within the DevHub CMS system. Utilize powerful tools to create, update, and retrieve blog posts and media, all through a simple interface. Enhance your content management experience with the capabilities of Large Language Models without direct API integration.","DevHub CMS 시스템 내에서 콘텐츠를 원활하게 관리하세요. 강력한 도구를 활용하여 간단한 인터페이스를 통해 블로그 게시물과 미디어를 만들고, 업데이트하고, 검색하세요. 직접 API 통합 없이도 Large Language Models의 기능으로 콘텐츠 관리 경험을 향상하세요.",https://smithery.ai/server/@devhub/devhub-cms-mcp,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Memory Server,"Manage your knowledge graph effortlessly. Create, update, and query entities and their relationships with strict validation to ensure data consistency. Enhance your applications with a robust memory management system that supports complex queries and observations.","지식 그래프를 손쉽게 관리하세요. 엄격한 검증을 통해 엔터티와 그 관계를 만들고, 업데이트하고, 쿼리하여 데이터 일관성을 보장하세요. 복잡한 쿼리와 관찰을 지원하는 강력한 메모리 관리 시스템으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@evangstav/python-memory-mcp-server,Local,,memory_management,memory systems and memory extensions for agents,2,0.0,0.0,0.0,0.0
JigsawStack AI Web Scraper,"Scrape any website instantly and get consistent structured data in seconds without writing any css selector code, check out API documentation here: https://jigsawstack.com/docs/api-reference/ai/scrape Get your API key here: https://jigsawstack.com/dashboard/",CSS 선택기 코드를 작성하지 않고도 몇 초 안에 모든 웹사이트를 즉시 스크래핑하고 일관된 구조화된 데이터를 얻을 수 있습니다. 여기에서 API 문서를 확인하세요: https://jigsawstack.com/docs/api-reference/ai/scrape 여기에서 API 키를 받으세요: https://jigsawstack.com/dashboard/,https://smithery.ai/server/@JigsawStack/ai-web-scraper,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Textube,Fetch and analyze YouTube video transcripts effortlessly. Gain insights and summaries from video content using specialized prompts. Enhance your understanding of video topics with quick and deep analysis tools.,YouTube 비디오 대본을 손쉽게 가져오고 분석하세요. 전문화된 프롬프트를 사용하여 비디오 콘텐츠에서 통찰력과 요약을 얻으세요. 빠르고 심층적인 분석 도구로 비디오 주제에 대한 이해를 높이세요.,https://smithery.ai/server/@tmsdnl/mcp-textube,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Chargebee MCP Server,"Enhance your development experience by integrating Chargebee's API services and documentation directly into your coding environment. Get instant answers, context-aware code snippets, and access to Chargebee's knowledge base to streamline your integration process. Perfect for developers using AI-powered code editors and tools.","Chargebee의 API 서비스와 문서를 코딩 환경에 직접 통합하여 개발 경험을 향상시키세요. 즉각적인 답변, 컨텍스트 인식 코드 스니펫, Chargebee의 지식 기반에 대한 액세스를 통해 통합 프로세스를 간소화하세요. AI 기반 코드 편집기와 도구를 사용하는 개발자에게 완벽합니다.",https://smithery.ai/server/@chargebee/agentkit,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Text Editor MCP Server,"Enable seamless text file management through a standardized API. View, edit, and create text files effortlessly, mimicking the functionality of Claude's built-in text editor. Enhance your applications with powerful file operations and directory support.","표준화된 API를 통해 원활한 텍스트 파일 관리를 가능하게 합니다. Claude의 내장 텍스트 편집기의 기능을 모방하여 텍스트 파일을 손쉽게 보고, 편집하고, 만듭니다. 강력한 파일 작업과 디렉토리 지원으로 애플리케이션을 강화합니다.",https://smithery.ai/server/@bhouston/mcp-server-text-editor,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Firecrawl Server,Enable web scraping and intelligent content searching capabilities.,웹 스크래핑과 지능형 콘텐츠 검색 기능을 활성화합니다.,https://smithery.ai/server/@Msparihar/mcp-server-firecrawl,Local,,web_search,web search,2,0.0,0.0,0.0,0.0
Twitter MCP Client,Fetch tweets effortlessly using the RapidAPI client. Integrate Twitter data into your applications with minimal setup and start leveraging social media insights today.,RapidAPI 클라이언트를 사용하여 손쉽게 트윗을 가져오세요. 최소한의 설정으로 Twitter 데이터를 애플리케이션에 통합하고 오늘부터 소셜 미디어 통찰력을 활용하세요.,https://smithery.ai/server/@vaibhavgeek/twitter-rapidapi-mcp-x,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
IMDb Server,"Access comprehensive movie and TV show information effortlessly. Retrieve detailed data about films, actors, and upcoming releases using the IMDb API. Enhance your applications with rich media content and insights.","포괄적인 영화 및 TV 쇼 정보에 손쉽게 액세스하세요. IMDb API를 사용하여 영화, 배우 및 예정된 릴리스에 대한 자세한 데이터를 검색하세요. 풍부한 미디어 콘텐츠와 통찰력으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@uzaysozen/imdb-mcp-server,Remote,,featured_category,,2,0.0,0.0,0.0,0.0
Steel Puppeteer,"Automate web interactions and capture content effortlessly. Navigate, click, and execute JavaScript in real browsers to enhance your LLM's capabilities. Take screenshots and monitor console logs for comprehensive web automation.","웹 상호작용을 자동화하고 손쉽게 콘텐츠를 캡처합니다. 실제 브라우저에서 JavaScript를 탐색, 클릭 및 실행하여 LLM의 기능을 향상합니다. 포괄적인 웹 자동화를 위해 스크린샷을 찍고 콘솔 로그를 모니터링합니다.",https://smithery.ai/server/@rdvo/mcp-server,Local,,browser_automation,advanced web browsing automation,2,0.0,0.0,0.0,0.0
Unity Game Engine,"Make Unity Editor more agentic, enhancing your development workflow with different MCP clients.
 

 Add the package via the Unity Package manager and follow the README configurations","Unity Editor를 더욱 에이전트화하여 다양한 MCP 클라이언트로 개발 워크플로를 개선하세요.

Unity 패키지 관리자를 통해 패키지를 추가하고 README 구성을 따르세요.",https://smithery.ai/server/@CoderGamester/mcp-unity,Local,,featured_category,,2,0.0,0.0,0.0,0.0
SCAST,Convert code into UML diagrams and flowcharts effortlessly. Analyze your code statically and visualize it using advanced tools like Mermaid and D3. Enhance your understanding of code structure and flow with this intuitive visualization tool.,코드를 UML 다이어그램과 플로우차트로 손쉽게 변환하세요. Mermaid와 D3와 같은 고급 도구를 사용하여 코드를 정적으로 분석하고 시각화하세요. 이 직관적인 시각화 도구로 코드 구조와 흐름에 대한 이해를 높이세요.,https://smithery.ai/server/@davidkingzyb/scast,Local,,featured_category,,2,0.0,0.0,0.0,0.0
WebSearch,Perform intelligent web searches and extract specific information from web pages using natural language prompts. Leverage advanced web scraping and crawling capabilities to enhance your content analysis and retrieval tasks.,자연어 프롬프트를 사용하여 지능형 웹 검색을 수행하고 웹 페이지에서 특정 정보를 추출합니다. 고급 웹 스크래핑 및 크롤링 기능을 활용하여 콘텐츠 분석 및 검색 작업을 향상시킵니다.,https://smithery.ai/server/@josemartinrodriguezmortaloni/webSearch-Tools,Local,,browser_automation,advanced web browsing automation,2,0.0,0.0,0.0,0.0
